,Ward,School,School Latitude,School Longitude,School Category
0,Bishopsworth,Bishopsworth Library,51.419067998040994,-2.616848945617676,College Library
1,Bishopsworth,Bedminster Down Secondary School,51.422319567965076,-2.6209473609924316,High School
2,Bishopsworth,St Peters School bishopsworth,51.41753,-2.61677,School
3,Knowle,Knowle Library,51.43422301248377,-2.5666950802230075,College Library
4,Knowle,Arran,51.435455033333334,-2.57317315,Fraternity House
5,Redland,St. Bonaventure's School,51.477758417970286,-2.5974454680427983,High School
6,Redland,Redland Green School,51.47354004507391,-2.6034003496170044,High School
7,Redland,Bristol College of Dancing,51.479769,-2.604389,College Academic Building
8,Redland,Redland High School,51.471031,-2.601606,High School
9,Redland,Bishop Road School Field,51.480698275373754,-2.595602581236423,College Rec Center
10,Redland,Pooh Corner Day Nursery,51.470586,-2.6083,Nursery School
11,St George Troopers Hill,Wootton Road,51.45289389241469,-2.5397625463743525,Student Center
12,St George Troopers Hill,knowle west media centre,51.452294,-2.537417,Community College
13,Southville,Holy Cross Rc Primary School,51.443853,-2.599627,Elementary School
14,Southville,Compass Point Primary School,51.4384250467341,-2.603009419580878,Elementary School
15,Southville,Dockyard. Creative Hub + Coffee,51.447591630519874,-2.609526515007019,College Cafeteria
16,Southville,Spike Island (Art Centre & Gallery),51.446722653890035,-2.610582885702509,Art Gallery
17,Southville,Include,51.441077,-2.600098,School
18,Southville,HH Wells Labs,51.447102018235285,-2.5999670496813696,University
19,Southville,"Lewis Wing, Wills Memorial Building",51.449047,-2.603805,Law School
20,Stockwood,Waycroft Academy,51.41294685981735,-2.545628313582225,Elementary School
21,Clifton,Clifton Library,51.454833441983,-2.619760861487413,College Library
22,Clifton,Clifton College Quad,51.46210120997461,-2.619916438603298,College Quad
23,Clifton,Clifton college dining hall,51.460922147226405,-2.621253850058063,College Cafeteria
24,Clifton,University of Bristol Students' Union,51.45692835177203,-2.612767156521614,Student Center
25,Clifton,Goldney Hall,51.452086791450284,-2.615159527738342,College Residence Hall
26,Clifton,Gromit Room,51.456562,-2.613147,College Auditorium
27,Clifton,Clifton Hill House @ University Bristol,51.45302504809359,-2.612073111396959,College Residence Hall
28,Clifton,"Manor Hall, Bristol University",51.4543657706754,-2.612113450350416,College Residence Hall
29,Clifton,Clifton College,51.45998011340266,-2.6186973571085135,General College & University
30,Clifton,Clifton College Science School,51.461943258850795,-2.619163715214102,College Science Building
31,Clifton,Winston Theatre,51.456593,-2.613065,College Theater
32,Clifton,"North Town, Clifton College",51.46125600332635,-2.621299559911799,Fraternity House
33,Clifton,Bristol Football Stadium - Exhibition Hall,51.459185499231005,-2.6191633445019913,College Stadium
34,Clifton,Plunket Room,51.460027,-2.61517,Sorority House
35,Clifton,School House,51.46193027306709,-2.620899466369091,Fraternity House
36,Clifton,Just Ask,51.45678,-2.613423,Student Center
37,Clifton,Hallward's House Dance Studio,51.461396751696036,-2.6218151295899075,General College & University
38,Clifton,30-35 Richmond terrace,51.455814,-2.612942,College Residence Hall
