Ward Code,Ward Name ,Time Period,Latest Mid-Year Population Estimates for Ward,All Crimes (number),All Crimes (rate per 1000 ward population),Violent & Sexual Offences (number),Violent & Sexual Offences (rate per 1000 ward population),Burglary (number),Burglary (rate per 1000 ward population),geo_point_2d
E05010889,Bishopsworth,2016/17,11553,1504,130.1826365,419,36.26763611,116,10.04068207,"51.4217865816, -2.61645797497"
E05010906,Knowle,2016/17,13425,1124,83.72439479,362,26.96461825,91,6.77839851,"51.4327758412, -2.57233571619"
E05010909,Redland,2016/17,13251,790,59.61814203,159,11.99909441,135,10.18791035,"51.4752437813, -2.60115989823"
E05010911,St George Troopers Hill,2016/17,5891,227,38.53335597,68,11.54303174,24,4.074011204,"51.4534343901, -2.53032305762"
E05010914,Southville,2016/17,12118,2085,172.0580954,484,39.94058425,170,14.02871761,"51.4433202033, -2.60399275913"
E05010915,Stockwood,2016/17,11793,1010,85.64402612,310,26.28678029,84,7.122869499,"51.4184164447, -2.54973483036"
,Bristol,2016/17,455966,55419,121.5419571,15951,34.98287153,4860,10.65868946,
E05010890,Brislington East,2017/18,11837,813,68.68294331,287,24.24600828,80,6.758469207,"51.4402818459, -2.53865430791"
E05010893,Clifton,2017/18,13552,721,53.20247934,132,9.74025974,70,5.165289256,"51.4565140849, -2.61996584156"
E05010895,Cotham,2017/18,11756,897,76.30146308,194,16.50221164,117,9.95236475,"51.4659621213, -2.59991279554"
E05010909,Redland,2017/18,13146,892,67.85333942,156,11.86672752,123,9.356458238,"51.4752437813, -2.60115989823"
,Bristol,2017/18,459252,55916,121.7545052,16716,36.39831726,4852,10.5650057,
E05010894,Clifton Down,2018/19,11639,845,72.6007389,182,15.63708222,103,8.849557522,"51.4649683928, -2.61265915115"
E05010895,Cotham,2018/19,12110,773,63.83154418,179,14.78117258,162,13.37737407,"51.4659621213, -2.59991279554"
E05010901,Henbury & Brentry,2018/19,12473,1150,92.19915016,449,35.99775515,94,7.536278361,"51.5089723054, -2.62103738819"
E05010903,Hillfields,2018/19,12898,1022,79.23709102,395,30.62490309,86,6.667700419,"51.4737002198, -2.52257598809"
E05010917,Westbury-on-Trym & Henleaze,2018/19,19971,827,41.41004456,174,8.712633318,125,6.25907566,"51.4897935392, -2.61748538616"
E05010888,Bishopston & Ashley Down,2019/20,13415,887,66.12001491,301,22.43756988,51,3.801714499,"51.4814520531, -2.5864650978"
E05010890,Brislington East,2019/20,11892,835,70.21527077,312,26.23612513,72,6.054490414,"51.4402818459, -2.53865430791"
,Bristol,2019/20,463405,52601,113.5097809,17400,37.54814903,3122,6.737087429,
E05010885,Ashley,2016/17,18949,3119,164.599715,859,45.3322075,181,9.551955248,"51.4683087281, -2.58267455617"
E05010887,Bedminster,2016/17,12336,1133,91.84500649,332,26.91309987,93,7.538910506,"51.4371586391, -2.62187520686"
E05010890,Brislington East,2016/17,11850,909,76.70886076,305,25.73839662,108,9.113924051,"51.4402818459, -2.53865430791"
E05010897,Eastville,2016/17,14460,1631,112.7939142,460,31.81189488,177,12.2406639,"51.4747087486, -2.54692742667"
